Unnamed: 0,Unnamed: 1,Unnamed: 2
Tributação,QTDE,
Simples Nacional,173,JUNHO
Lucro Presumido,73,JUNHO
Lucro Real,27,JUNHO
Filiais,31,JUNHO
Associações,90,JUNHO
MEI,148,JUNHO
Rural,33,JUNHO
Domésticas,18,JUNHO
Autonimos,2,JUNHO
Simples Nacional,174,JULHO
Lucro Presumido,74,JULHO
Lucro Real,27,JULHO
Filiais,31,JULHO
Associações,87,JULHO
MEI,154,JULHO
Rural,26,JULHO
Domésticas,18,JULHO
Autonimos,8,JULHO
Simples Nacional,175,AGOSTO
Lucro Presumido,74,AGOSTO
Lucro Real,27,AGOSTO
Filiais,31,AGOSTO
Associações,82,AGOSTO
MEI,158,AGOSTO
Rural,26,AGOSTO
Domésticas,18,AGOSTO
Autonimos,8,AGOSTO
